"point_id","x","y","slaves_1860","slaves_1850","slaves_1840","slaves_1830","slaves_1820","slaves_1810","slaves_1800","slaves_1790","peak_slave","peak_year","total_1790","total_1800","total_1810","total_1820","total_1830","total_1840","total_1850","total_1860","total_1870"
10225,930972,-366591,1020.60003662,883.125976563,634.170776367,0,0,0,0,0,1020.60003662,1860,0,0,0,0,0,3124.84,4027.93,5062.81,5733.5
10226,956418,-366591,1020.60003662,883.125976563,634.170776367,0,0,0,0,0,1020.60003662,1860,0,0,0,0,0,3124.84,4027.93,5062.81,4377.64
10227,981864,-366591,546.779418945,526.323669434,319.564727783,37.705329895,0,0,0,0,546.779418945,1860,0,0,0,0,264.711,2157.12,3342.87,3792.44,3740.67
10228,1007310,-366591,675.96282959,369.695404053,169.941452026,55.8597488403,0,0,0,0,675.96282959,1860,0,0,0,0,392.164,1666.24,3022.43,4797.18,4936.34
10229,1032756,-366591,1435.93505859,1047.08935547,557.239685059,399.303527832,0,0,0,0,1435.93505859,1860,0,0,0,0,2173.8,3672.72,5306.54,6467.16,7018.8
10230,1058202,-366591,3690.51391602,1435.93432617,930.432312012,641.206970215,0,0,0,0,3690.51391602,1860,0,0,0,0,3338.29,4855.48,6763.11,16688.5,32856.1
10231,1083648,-366591,2592.53393555,2219.13696289,1496.71044922,1027.38305664,0,0,0,0,2592.53393555,1860,0,0,0,0,4568.69,5974.24,7723.5,7628.06,8529.68
10232,1109094,-366591,4185.04101563,3361.39819336,2414.14477539,1935.92407227,10.6094865799,0,0,0,4185.04101563,1860,0,0,0,70.4833,7202.59,7561.73,8664.32,9307.85,9474.03
10233,1134540,-366591,4443.99414063,4196.11328125,3358.59887695,3576.32177734,2733.62084961,972.818,0,0,4443.99414063,1860,0,0,3590.49,6902.8,8029.63,6938.02,7841.48,7741.72,7984.64
10234,1159986,-366591,4982.11132813,5042.89013672,4123.37304688,4854.85791016,4288.546875,2098.36,361.713,86.9904,5042.89013672,1850,341.455,1064.37,6478.99,9313.08,8464.14,6675.28,7640.03,7176.36,7516.31
10235,1185432,-366591,4971.29052734,4877.99707031,4153.32324219,4454.84375,3893.09741211,2992.51,1996.16,492.908,4971.29052734,1860,1949.2,5885.47,6636.91,7596.34,7503.41,6935.5,7733.74,7496.5,7377.18
10236,1210878,-366591,3720.33300781,3563.00439453,3021.66821289,3175.18896484,2814.70214844,2325.29,1566.39,706.857,3720.33300781,1860,2897.61,5017.08,5335.19,5885.82,6059.79,5656.16,6324.39,6142.7,6350.85
10237,1236324,-366591,3641.56445313,3128.97143555,2424.53710938,2548.61914063,2176.94555664,1675.05,1042.22,857.362,3641.56445313,1860,2613.29,3887.92,4288.32,5138.27,5416.14,4850.76,5945.51,6365.35,6903.69
10238,1261770,-366591,4087.38720703,3901.95458984,3355.96411133,3544.01660156,3697.53613281,2882.45,1659,855.822,4087.38720703,1860,2354.68,4268.38,5443.79,6491.18,5737.65,5390.99,5934.64,6333.16,7265.66
10239,1287216,-366591,7272.50537109,6916.86181641,5376.34619141,5599.28222656,3433.07397461,2447.6,1868.47,814.341,7272.50537109,1860,2305.43,3977.8,4562.27,6178.46,10611.2,10725.1,14723.2,19071.2,23030.5
10240,1312662,-366591,2679.76318359,2233.73876953,1692.36682129,1402.10791016,1159.33837891,783.371,398.05,245.903,2679.76318359,1860,1064.65,1428.52,2121.63,2534.04,3024.41,3352.99,4124.26,4687.98,5370.12
10241,1338108,-366591,2468.26904297,1986.98425293,1489.8125,1205.26879883,898.738769531,589.088,239.721,163.438,2468.26904297,1860,843.071,1046.26,1741.87,2092.23,2728.56,3045.58,3774.25,4360.78,5067.32
10242,1363554,-366591,2469.44482422,1989.0213623,1491.55395508,1206.69702148,900.126037598,590.367,240.653,163.438,2469.44482422,1860,843.071,1047.64,1742.72,2093.13,2728.8,3045.99,3775.1,4360.5,5060.53
10243,1389000,-366591,2666.52539063,2286.92993164,1708.03186035,1419.16308594,1123.97009277,818.04,375.659,288.218,2666.52539063,1860,981.227,1206.96,1904.46,2245.08,2794.47,3103.36,3925.76,4391.25,4335.71
10244,1414446,-366591,3930.1237793,3819.38012695,2441.96362305,2547.75683594,2483.84741211,2393.76,1773.29,1241.73,3930.1237793,1860,1875.02,2369.94,3118.12,3227.97,3432.16,3373.41,4968.12,5265.41,3280.33
10245,1439892,-366591,4018.52197266,4000.17578125,3175.54370117,3476.95507813,3444.49072266,3186.03,2199.64,1391.89,4018.52197266,1860,1907.41,2735.32,3784.96,4232.62,4338.6,4089.26,4945.95,5193.97,3722.42
10246,1465338,-366591,2921.17333984,3073.71630859,4991.39404297,5289.57275391,5032.42431641,3919.78,2316.09,1744.54,5289.57275391,1830,2068.92,3047.56,4489.28,6332.09,6409.17,6101.3,3705.56,3707.78,4634.33
10247,1490783,-366591,2782.64404297,2956.76025391,5220.62646484,5518.39697266,5232.88476563,4012.41,3042.57,3113.34,5518.39697266,1830,3539.27,3398.81,4578.19,6597.13,6670.56,6355.3,3548.97,3520.17,4749.45
10248,1516229,-366591,2191.33227539,2328.44873047,4111.24316406,4345.73779297,4120.89648438,3159.77,2473.42,2344.11,4345.73779297,1830,2688.68,2736.32,3605.33,5195.24,5253.07,5004.8,2794.81,2772.13,3740.19
10249,1541675,-366591,499.136779785,530.368835449,936.449890137,989.862487793,938.648681641,719.725,506.26,440.655,989.862487793,1830,500.2,558.559,821.214,1183.36,1196.53,1139.98,636.596,631.43,851.933
10250,-1740853,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6858,14.2131
10251,-1715407,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.6157,37.7922
10252,-1689962,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.2102,40.3924
10253,-1664516,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0156,40.3924
10254,-1639070,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.6808,40.3924
10255,-1613624,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.6808,43.5382
10256,-1588178,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.6808,52.9131
10257,-1562732,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.6808,52.9131
10258,-1537286,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.6808,52.9131
10259,-1511840,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.6808,52.9131
10260,-1486394,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.6808,52.9131
10261,-1460948,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.6808,52.9131
10262,-1435502,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.9385,48.3263
10263,-1410056,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.2648,50.9833
10264,-1384610,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6709,43.3201
10265,-1359164,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5406,32.8322
10266,-1333718,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0574,50.2282
10267,-1308272,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0749,37.9224
10268,-1282826,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0055,9.4792
10269,-1257380,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.9537,8.16472
10270,-1231934,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9458,8.16472
10271,-1206488,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1307,40.5189
10272,-1181042,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4647,97.6454
10273,-1155596,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.658,101.796
10274,-1130150,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.658,101.796
10275,-1104704,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.658,101.796
10276,-1079258,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1956,22.658,101.796
10277,-1053813,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.325,22.658,101.796
10278,-1028367,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.325,22.658,101.796
10279,-1002921,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.325,22.658,101.796
10280,-977475,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.325,22.658,101.796
10281,-952029,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.325,22.658,101.796
10282,-926583,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.325,22.658,70.0943
10283,-901137,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.055,22.658,31.5424
10284,-875691,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.658,31.5424
10285,-850245,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.658,31.5424
10286,-824799,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.658,31.5424
10287,-799353,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.658,31.5424
10288,-773907,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.658,31.5424
10289,-748461,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.658,31.5424
10290,-723015,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.658,31.5424
10291,-697569,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.658,31.5424
10292,-672123,-392037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.658,31.5424
10293,-646677,-392037,0,0.3807374835,0,0,0,0,0,0,0.3807374835,1850,0,0,0,0,0,0,5.92406,10.5926,14.7461
10294,-621231,-392037,0,0.7149999738,0,0,0,0,0,0,0.7149999738,1850,0,0,0,0,0,0,11.125,0,0
10295,-595785,-392037,0,0.7149999738,0,0,0,0,0,0,0.7149999738,1850,0,0,0,0,0,0,11.125,0,0
10296,-570339,-392037,0,0.7149999738,0,0,0,0,0,0,0.7149999738,1850,0,0,0,0,0,0,11.125,0,0
10297,-544893,-392037,0,0.7149999738,0,0,0,0,0,0,0.7149999738,1850,0,0,0,0,0,0,11.125,0,0
10298,-519447,-392037,0,0.7149999738,0,0,0,0,0,0,0.7149999738,1850,0,0,0,0,0,0,11.125,0,0
10299,-494001,-392037,0,0.7149999738,0,0,0,0,0,0,0.7149999738,1850,0,0,0,0,0,0,11.125,0,0
10300,-468555,-392037,0,0.7149999738,0,0,0,0,0,0,0.7149999738,1850,0,0,0,0,0,0,11.125,0,0
10301,-443109,-392037,0,0.7149999738,0,0,0,0,0,0,0.7149999738,1850,0,0,0,0,0,0,11.125,0,0
10302,-417664,-392037,0,0.7149999738,0,0,0,0,0,0,0.7149999738,1850,0,0,0,0,0,0,11.125,0,0
