"county","jail_2014","jail_1970","jail_1980","jail_1990","jail_2000","black_1990","black_2000","black_2014","black_2010","jail_2010"
8069,193.23,53.81,52.74,128.9,154.13,516.8,1009.73,837.11,897.26,212.79
8071,375.28,96.83,127.06,143.88,269.72,7608.7,2482.27,1265.82,1265.82,356.86
8073,833.8,35.2,192.31,399.85,449.78,87500,1314.48,366.3,627.04,738.9
8075,581.71,69.25,103.15,32.31,0,0,0,384.98,0,560.91
8077,591.38,137.88,150.19,266.86,200.48,1600,1133.5,1115.62,1434.43,573.4
8079,348.63,30.95,113.61,94.23,202.37,"null",3270,2010,2880,308.57
8081,475.53,207.68,219.93,302.36,446.24,0,0,2816.9,3316.33,602.51
8083,547.38,103.84,263.98,323.18,592.77,0,0,0,0,547.38
8085,334.03,119.78,107.88,297.69,285.64,3555.29,2780.94,1756.08,3694.22,505.66
8087,219.82,34.3,107.65,359.35,445.32,4545.46,2127.66,178.25,179.86,337.11
8089,402.25,37.66,73.26,181.71,249.99,0,0,0,0,402.25
8091,333.96,119.81,107.86,297.55,285.76,"null",7340,2237.14,7571.43,505.6
8093,948.65,0,0,0,510.35,0,3389.83,1960.78,12654.32,1157.58
8095,581.73,85.98,0,32.31,0,"null",0,2830,0,560.75
8097,128.43,87.64,46.5,173.13,127.82,0,0,0,0,123.07
8099,539.34,130.11,64.9,225.6,460.82,0,0,0,0,555.67
8101,584.47,143.28,147.71,310.35,418.38,5391.43,1204.13,2133.22,1373.76,557.24
8103,246.53,131.32,117.84,183.16,421.16,21428.57,5555.56,1204.82,1562.5,303.52
8105,348.75,30.97,113.62,94.23,202.24,47335,18692,2088.22,3249.66,308.56
8107,123.09,71.29,62.54,155.98,263.5,0,0,0,0,171.94
8109,407.75,181.32,255.39,178.44,397.23,"null",0,0,0,422.63
8111,299.51,247.08,119.21,245.62,334.94,"null","null",5160,"null",377.53
8113,158.28,0,0,0,0,0,0,0,0,0
8115,142.25,0,51.57,65.1,71.27,"null",0,0,0,140.15
8117,151.6,108.64,129.35,292.06,329.12,0,1535.09,398.41,429.18,146.56
8119,399.59,242.72,161.41,266.12,506.11,0,16483.52,632.91,826.45,307.77
8121,6110.54,60.7,83.44,91.87,1316.23,"null",0,52631.58,39473.68,1200.8
8123,394.02,46.08,109.47,171.03,273.14,1804.12,693.48,1002.18,1078.17,420.51
8125,406.37,20.22,36.35,80.49,275.78,"null",0,2777.78,4166.67,305.02
11001,433.33,647.21,421.14,372.83,360.03,596.59,652,936.29,1319.57,579.59
12001,458.58,171.11,126.27,406.43,497.17,1763.77,1874.76,1501.55,1756.65,489.63
12003,189.1,70.39,107.2,198.75,196.31,1606.47,2922.66,1628.08,1630.44,316.27
12005,736.73,225.14,223.34,552.04,744.37,2192.45,2651.33,2795.62,3246.45,757.68
12007,760.91,129.34,95.26,215.85,529.03,469.51,1023.25,1659.43,1444.38,663.55
12009,412.33,55.91,98.34,302.62,388.29,1825.27,1779.44,1423.94,1573.73,417.35
12011,353.86,198.58,154.04,394.18,459.23,1276.18,1142.52,744.75,801.98,381.66
12013,572.74,201.52,143.16,215.36,383.67,828.73,618.51,195.82,379.99,552.05
12015,727.75,186.35,112.99,182.31,269.96,1640.78,1155.42,1888.91,1804.92,573.13
12017,511.34,140.53,157.24,226.08,432.79,463.26,2210.59,3756.78,3460.7,470.53
12019,327.46,84.41,85.12,147.12,251.84,1237.48,1067.67,726.54,1010.25,335.92
12021,428.42,664.25,256.39,470.29,437,3617.08,724.05,999.87,1329.81,482.45
12023,465.29,190.64,205.73,547.3,787.19,1653.63,2116.07,662.33,1019.18,542.42
