"point_id","x","y","total_1860","total_1830","slaves_1830","total_1790","slaves_1790","slaves_1860","free_blacks_1860","total_1910","black_1910","total_1970","jail_1970","black_1970","total_2010","black_2010","jail_2010","jail_black_2010","total_2014","total_prison_2014","black_2014","jail_2014","jail_black_2014","prison_2014"
9185,-290433.709,-188469.7713,0,0,0,0,0,0,0,4991.706543,51.7918091,4185.516113,2.534965038,140.1855164,1148.168213,8.64134407,9.024820328,0.946083427,1173.928223,1173.928223,5.402309895,10.61593533,0.412934005,0.469651312
9582,-1333718.069,-264807.6513,22.6580009,0,0,0,0,0,0.0235,335.7380066,1.9276479,1216.863403,1.261829615,21.13838196,1008.766724,3.888283491,4.542420387,0.044074796,1175.584473,1175.584473,21.84258652,4.987120628,0.182758197,0.440648168
4853,-748460.989,498571.1487,0,0,0,0,0,0,0,924.3760376,56.8557472,3492.272217,3.912503481,84.05680847,1173.332275,8.669672966,5.849604607,0.254385799,1176.07251,1176.07251,3.562102079,6.253011227,0.224755406,0.139881402
8691,-1282826.149,-112131.8913,39.4980011,0,0,0,0,0,0,287.9342346,0.95375,1197.69751,1.293249965,22.9924984,1148.355347,9.164065361,5.18885231,0.104091801,1176.471924,1176.471924,0.325236201,4.977541447,0.0026577,0.438694298
1339,-86866.029,1083828.229,0,0,0,0,0,0,0,3065.960449,2.156985,2408.930176,1.054031253,0.805359364,1130.444336,2.039040089,2.035875082,0.020459998,1176.860596,1176.860596,2.701050043,2.019994974,0.035804998,0.118139997
9560,-1893529.189,-264807.6513,71.6869965,0,0,0,0,0,0.13275,3638.29541,40.3567505,1045.607666,1.851641655,45.41933441,1511.130127,25.65965843,3.012799978,0.205139995,1177.188232,1177.188232,17.34358978,3.046289921,0.17107001,0.098469995
6986,-188649.869,167773.6687,0,0,0,0,0,0,0,3522.044434,10.2715454,1606.205688,0.0551228,0.094566807,1197.530518,12.01059914,3.742104292,0.670405209,1178.352295,1178.352295,14.73313713,4.95891428,0.947935581,0.045567997
1237,345715.291,1109274.189,16.0612679,1.9323,0,0,0,0,0,871.4456787,0,1452.337036,0.1846838,2.828250647,1213.077881,3.806186676,2.446017265,0,1179.344238,1179.344238,1.982604623,2.705313683,0,0.143409208
1215,-214095.829,1109274.189,0,0,0,0,0,0,0,2042.667358,1.1175009,1968.439087,4.922067642,0.598927617,1174.31958,3.577177525,0.152242199,0.009220201,1179.701904,1179.701904,0.991140544,0.147377998,0,0.20735231
9186,-264987.749,-188469.7713,0,0,0,0,0,0,0,4968.925781,51.0575066,4120.373047,2.599260807,136.345993,1153.089355,9.248192787,9.146262169,1.027120948,1180.109497,1180.109497,5.942478657,10.81464958,0.456705183,0.455732197
