"county","black_pop_1980","total_pop_1980","black_pop_2010","total_pop_2010","black_pop_2000","total_pop_2000","black_pop_1960","total_pop_1960","black_pop_1910","total_pop_1910"
26157,323,56961,634,55729,622,58266,333,43305,21,34913
26159,5041,66814,3100,76258,4001,76263,3286,48395,535,33185
26161,28323,264748,43767,344791,39697,322895,11773,172440,1130,44714
26163,829983,2337891,737943,1820584,868992,2061162,529582,2666297,6085,531591
26165,12,25102,129,32735,57,30484,14,18466,60,20769
27001,12,13404,57,16202,35,15301,3,12162,46,10371
27003,382,195998,14503,330844,4756,298084,92,85916,41,12493
27005,10,29336,138,32504,58,30000,3,23959,4,18840
27007,37,30982,262,44442,142,39650,11,23425,11,19337
27009,35,25187,749,38451,266,34226,4,17287,2,11615
27011,0,7716,11,5269,10,5820,0,8954,3,9367
27013,207,52314,1741,64013,666,55941,11,44385,8,29337
27015,3,28645,61,25893,27,26911,4,27676,2,20134
27017,29,29936,498,35386,308,31671,7,27932,0,17559
27019,44,37046,1124,91042,417,70205,7,21358,4,17455
27021,14,21050,61,28567,31,27150,21,16720,36,11620
27023,3,14941,65,12441,23,13088,4,16320,5,13458
27025,28,25717,645,53887,210,41101,21,13419,4,13537
27027,148,49327,842,58999,268,51229,9,39080,15,19640
27029,2,8761,30,8695,16,8423,0,8864,0,6870
27031,11,4092,17,5176,15,5168,13,3377,0,1336
27033,8,14854,87,11687,41,12167,0,16166,2,12651
27035,50,41722,313,62500,170,55099,10,32134,2,16861
27037,1160,194279,18709,398552,8091,355904,56,78303,40,25171
27039,10,14773,60,20087,35,17731,8,13259,27,12094
27041,4,27839,150,36009,60,32821,5,21313,5,17669
27043,4,19714,47,14553,39,16181,5,23685,9,19949
27045,10,21930,49,20866,35,21122,5,23768,11,25680
27047,2,36329,231,31255,79,32584,2,37891,7,22282
27049,44,38749,445,46183,280,44127,18,33035,45,31637
27051,0,7171,19,6018,13,6289,0,8870,0,9114
27053,32986,941411,136262,1152425,99943,1116200,12025,842854,2646,333480
27055,8,18382,101,19027,61,19718,3,16588,1,14297
27057,8,14098,48,20428,32,18376,1,9962,15,9831
27059,45,23600,245,37816,80,31287,49,13530,4,12615
27061,29,43069,144,45058,71,43992,21,38006,12,17208
27063,3,13690,47,10266,10,11268,2,15501,2,14491
27065,7,12161,55,16239,26,14996,3,9007,0,6461
27067,25,36763,984,42239,209,41203,29,29987,5,18969
27069,0,6672,11,4552,8,5285,14,8343,2,9669
27071,13,17571,78,13311,27,14355,3,18190,10,6431
27073,4,10592,17,7259,13,8067,0,13330,5,15435
27075,19,13043,16,10866,11,11058,17,13702,0,8011
27077,2,3764,14,4045,13,4522,19,4304,NULL,NULL
27079,6,23434,94,27703,38,25426,0,19906,23,18609
27081,1,8207,8,5896,3,6429,0,9651,1,9874
27083,26,25207,587,25857,378,25425,1,22655,5,15722
27085,17,29657,199,36651,76,34898,0,24401,12,18691
27087,1,5535,11,5413,7,5190,3,6341,0,3249
27089,3,13027,26,9439,10,10155,2,14262,3,16338
27091,9,24687,64,20840,55,21802,1,26986,4,17518
27093,8,20594,77,23300,44,22644,0,18887,3,17022
27095,20,18430,97,26097,60,22330,3,14560,6,10705
27097,5,29311,131,33198,66,31712,2,26641,6,24053
27099,36,40390,818,39163,215,38603,12,48498,21,22640
27101,2,11507,25,8725,9,9165,18,14743,1,11755
27103,52,26929,667,32727,239,29771,47,23196,11,14125
27105,30,21840,743,21378,223,20832,2,23365,0,15210
27107,0,9379,13,6852,8,7442,0,11253,2,13446
27109,411,92006,6870,144248,3330,124277,68,65532,33,22497
27111,25,51937,430,57303,163,57159,22,48960,52,46036
27113,12,15258,192,13930,28,13584,1,12468,7,9376
27115,146,19871,597,29750,341,26530,167,17004,11,15878
27117,5,11690,56,9596,17,9895,2,13605,1,9553
27119,64,34844,270,31600,104,31369,5,36182,27,36001
27121,1,11657,38,10995,23,11236,3,11914,3,12746
27123,14720,459784,56170,508640,38900,511035,8394,422525,3154,223675
27125,0,5471,8,4089,8,4299,0,5830,0,6564
27127,2,19341,75,16059,22,16815,4,21718,11,18425
27129,4,20401,44,15730,10,17154,3,23249,1,23123
27131,118,46087,2072,64142,741,56665,36,38988,21,25911
27133,6,10703,59,9687,52,9721,0,11864,3,10222
27135,1,12574,39,15629,21,16338,0,12154,2,11338
27137,961,222229,2739,200226,1704,200528,653,231588,439,163274
27139,63,43784,3376,129928,824,89498,2,21909,1,14888
27141,141,29908,1689,88499,550,64417,62,12861,9,8136
27143,3,15448,48,15226,19,15356,3,16228,6,15540
27145,159,108161,4658,150642,1110,133166,43,80345,14,47733
27147,13,30328,1013,36576,360,33680,11,25029,20,16146
27149,52,11322,76,9726,92,10053,0,11262,2,8293
27151,2,12920,49,9783,322,11956,0,14936,1,12949
27153,7,24991,94,24895,27,24426,5,23119,2,23407
27155,4,5542,13,3558,1,4134,0,7503,2,8049
27157,5,19335,80,21676,54,21610,1,17007,11,18554
27159,24,14192,111,13843,66,13713,18,12199,1,8652
27161,22,18448,380,19136,441,19526,2,16041,5,13466
27163,615,113571,8579,238136,3689,201130,135,52432,71,26013
27165,1,12361,82,11211,44,11876,5,14460,1,11382
27167,2,8454,15,6576,11,7138,0,10650,3,9063
27169,105,46256,650,51461,384,49985,18,40937,22,33398
27171,28,58681,1328,124700,235,89986,8,29935,18,28082
27173,0,13653,16,10438,12,11080,2,15523,1,15406
28001,18429,38035,17287,32297,18117,34340,18670,37730,18908,25265
28003,3445,33036,4221,37057,3827,34558,3333,25282,4275,18159
28005,6365,13369,5427,13131,5800,13599,8440,15573,12590,22954
28007,7775,19865,8208,19564,7864,19661,9523,21335,13219,28851
28009,3093,8153,3252,8729,2950,8026,3609,7723,5037,10245
28011,28567,45965,21920,34145,26458,40633,36663,54464,42763,48905
28013,3988,15664,4149,14962,4318,15069,4346,15941,3812,17726
28015,4425,9776,3461,10597,3942,10769,6492,11177,13475,23139
28017,6434,17853,7319,17392,8020,19440,6499,16891,12714,22846
28019,2530,8996,2574,8547,2994,9758,2516,8423,4169,14357
28021,9151,12279,8104,9604,9951,11831,8239,10845,13608,17403
28023,5898,16945,5759,16732,6251,17955,6470,16493,10262,21630
28025,10540,21082,12017,20634,12380,21979,9717,18933,14105,20203
28027,23631,36918,19752,26151,21192,30622,31440,46212,30382,34217
28029,12822,26503,14983,29449,14653,28757,14058,27051,19981,35914
28031,5503,15927,6825,19568,6910,19407,4733,13637,5224,16909
28033,9596,53930,35266,161252,12216,107199,14625,23891,17572,23130
28035,17695,66018,27082,74934,24360,72604,14719,52722,7683,20722
28037,3053,8208,2791,8118,3064,8448,3798,9286,6823,15193
28039,1457,15297,1829,22578,1688,19144,1285,11098,1827,6599
28041,1972,9827,3749,14400,3482,13299,1923,8366,1347,6050
28043,8796,21043,9140,21906,9522,23263,9050,18409,11161,15727
28045,2435,24537,3138,43929,2934,42967,2246,14039,4339,11207
28047,30406,157665,41393,187105,39984,189601,19057,119489,10643,34658
28049,113301,250998,169370,245285,153297,250800,74750,187045,45407,63726
28051,16339,22970,16018,19198,16997,21609,19488,27096,31197,39088
28053,9145,13931,6987,9375,8013,11206,13300,19093,NULL,NULL
28055,1397,2513,906,1406,1427,2274,2399,3576,9946,10560
28057,1264,20518,1391,23401,1473,22770,872,15080,1198,14526
28059,22119,118015,30034,139668,27432,131420,10817,55522,5467,15451
28061,8487,17265,8970,17062,9597,18149,8437,16909,9013,18498
28063,7528,9181,6620,7726,8424,9740,7652,10142,14287,18221
28065,7421,13846,7477,12487,8011,13962,7408,13540,6757,12860
28067,14318,61912,19153,67761,17107,64958,15393,59542,8417,29885
28069,5512,10148,6288,10456,6076,10453,7212,12277,11691,20348
28071,8184,31030,11201,47351,9705,38744,7208,21355,9904,21883
