"county","pop_2010","pop_1960","pop_1910"
24019,0.28,0.3,0.33
24021,0.09,0.07,0.1
24023,0.01,0,0.01
24025,0.13,0.1,0.18
24027,0.17,0.11,0.23
24029,0.15,0.25,0.36
24031,0.17,0.03,0.29
24033,0.64,0.09,0.32
24035,0.07,0.27,0.35
24037,0.14,0.18,0.43
24039,0.42,0.37,0.36
24041,0.13,0.27,0.35
24043,0.1,0.03,0.04
24045,0.24,0.22,0.24
24047,0.14,0.34,0.32
25001,0.02,0.02,0.03
25003,0.03,0.01,0.01
25005,0.03,0.01,0.01
25007,0.03,0.02,0.04
25009,0.04,0,0
25011,0.01,0,0
25013,0.09,0.03,0.01
25015,0.02,0,0
25017,0.05,0.01,0.01
25019,0.07,0.03,0.01
25021,0.06,0,0
25023,0.07,0.02,0.02
25025,0.22,0.08,0.02
25027,0.04,0.01,0
26001,0,0,0
26003,0.06,0,0
26005,0.01,0.01,0.01
26007,0,0,0
26009,0,0,0
26011,0,0,0
26013,0.07,0,0
26015,0,0,0
26017,0.02,0.01,0
26019,0,0,0.01
26021,0.15,0.08,0.01
26023,0.03,0.01,0
26025,0.11,0.07,0.01
26027,0.05,0.1,0.07
26029,0,0,0
26031,0.01,0,0
26033,0.07,0.01,0
26035,0,0,0
26037,0.02,0,0
26039,0,0.02,0
26041,0,0,0
26043,0,0,0
26045,0.06,0,0
26047,0,0.01,0
26049,0.21,0.1,0.01
26051,0,0,0
26053,0.04,0,0
26055,0.01,0,0
26057,0.06,0,0
26059,0,0,0
26061,0.01,0,0
26063,0,0,0
26065,0.12,0.04,0.01
26067,0.05,0.03,0
26069,0,0.01,0
26071,0,0,0
26073,0.02,0.01,0.01
26075,0.08,0.06,0.01
26077,0.11,0.03,0.01
26079,0,0,0
26081,0.1,0.04,0
26083,0,0.01,0
26085,0.09,0.26,0
26087,0.01,0.01,0
26089,0,0,0
26091,0.03,0.01,0.01
26093,0,0.01,0
26095,0.11,0,0
