"county","jail_2014","jail_1970","jail_1980","jail_1990","jail_2000"
13313,586.68,113,148.68,301.8,210.25
13315,401.54,24.3,86.51,254.32,283.36
13317,491.35,325.82,299.2,464.93,567.2
13319,505.39,0,74.04,120.11,305.51
13321,345.69,894,471.86,413.69,243.55
16001,272.63,124.26,73.01,150.01,287.06
16003,1009.68,0,125.36,248.63,703.39
16005,393.65,191.81,85.67,146.69,498.45
16007,82.12,61.52,25.76,50.43,100.74
16009,181.09,269.25,119.02,201.45,238.05
16011,301.03,84.69,45.37,119.21,182.64
16013,279.95,26.59,55.29,210.87,203.81
16015,272.04,93.46,73.08,150.14,286.81
16017,232.3,32.34,48.85,141.21,241.16
16019,572.87,61.94,114.12,106.48,484.52
16021,300.89,215.98,157.3,212.26,357.77
16023,319.9,59.14,97.63,168.86,213.08
16025,0,0,0,0,0
16027,299.01,88.18,111.49,202.59,382.53
16029,863.98,0,73.9,67.15,219.49
16031,989.32,50.93,143.64,556.21,774.16
16033,181.49,461.89,288.89,446.43,546.88
16035,410.29,44.36,164.08,219.62,304.11
16037,150.04,55.25,55.33,107.73,142.2
16039,468.34,27.04,82.18,109.95,97.07
16041,99.66,0,67.65,90.59,170.17
16043,113.94,78.11,60.83,136.15,112.36
16045,339.86,73.09,86.54,94.31,298.57
16047,330.8,117.05,76.45,232.77,198.8
16049,143.22,65.42,51.99,61.28,100.13
16051,260.38,105.6,70.88,131.91,101.67
16053,279.63,0,110.04,202.99,184.14
16055,319.55,98.09,92.66,197.26,296.18
16057,128.76,17.63,24.21,84.91,87.9
16059,175.32,30.6,21.48,34.03,236.09
16061,411.71,174.44,187.84,309.03,421.21
16063,0,0,0,0,0
16065,223.17,32.95,49.12,86.85,178.44
16067,0,53.01,114.66,0,0
16069,375.66,65.39,159.75,216.4,175.12
16071,393.42,62.27,102.1,79.55,189.39
16073,551,78.08,44.06,158.38,391.89
16075,422.74,126.89,127.96,205.73,306.97
16077,473.12,137.65,91.37,421.15,559.38
16079,375.14,107.16,240.55,452.71,382.97
16081,223.14,151.75,139.29,139.64,178.49
16083,338.09,79.68,104.51,266.06,456.32
16085,422.08,0,162.22,372.35,568.33
16087,272.11,45.3,56,363.94,523.53
17001,180.44,43.08,58.15,146.09,184.01
17003,117.74,44.12,117.91,137.41,117.82
17005,169.16,48.15,87.69,202.95,72.66
17007,231.71,91.46,80.45,163.37,244.42
17009,0,32.86,0,0,0
17011,127,35.9,36.63,76.47,109.18
17013,162.6,0,0,64.72,80.87
17015,175.04,96.1,85.68,137.16,178.26
17017,0,24.35,38.78,0,0
17019,140.78,22.99,46.47,111.11,221.83
17021,201,19.17,32.65,94.9,120.57
17023,196.46,0,59.62,70.87,195.63
17025,143.22,0,69.2,88.19,102.83
17027,221.63,74.58,46.59,79.44,77.53
17029,270.27,34.89,66.22,125.23,283.76
17031,281.06,107.18,138.21,200.5,274.35
17033,320.09,8.39,46.28,91.1,120.67
17035,144.59,17.87,49.99,26.41,75.13
17037,180.16,14.18,39.71,101.05,110.02
17039,532.83,59.86,66.39,109.48,224.49
17041,113.18,44.25,38.09,109.17,127.8
17043,107.59,22.19,23.71,72.37,89.49
17045,248.54,116.88,73.75,136.25,174.08
17047,104.91,0,66.59,150.39,163.35
17049,210.39,35.72,46.67,121.84,168.5
17051,256.91,48.44,89.39,160.69,126.28
17053,118.57,52.02,12.57,0,76.89
17055,363.43,26.44,45.12,156.31,112.06
17057,238.93,75.9,45.81,133.47,140.48
17059,104.95,111.23,46.8,150.35,163.39
17061,91.5,73.73,47.51,112.81,67.45
17063,151.19,80.29,51.58,110.32,107.2
17065,104.95,0,0,150.36,163.34
17067,166.77,79.23,54.25,104.53,74.68
17069,197.63,0,0,49.16,64.08
17071,162.87,81.52,48.16,134.2,151
17073,188.58,64.54,53.63,121.55,257.13
17075,105.88,30.53,47.6,94.97,93.55
17077,311.52,38.18,43.42,107.42,158.7
17079,132.49,66.73,63.58,147.32,207.58
17081,340.14,74.55,41.23,111.42,174.9
17083,162.55,26.62,45.99,64.72,80.86
17085,111.35,73.12,55.53,46,121.38
17087,293.82,71.31,21.31,103.84,228.68
17089,134.87,47.99,60.37,121.83,187.03
17091,519.07,74.94,69.28,117.62,260.54
17093,126.6,6.36,22,46.52,182.03
17095,294.76,56.99,56.85,121.15,192.13
17097,133.93,23,27.97,112.27,144.36
17099,234.07,51.3,41.23,76.2,136.04
17101,275.58,0,0,42.44,61.49
17103,199.63,56.49,105.82,173.22,126.81
17105,441.91,70.61,63.28,161.92,272.98
17107,168.55,61.82,45.13,107.57,185.65
17109,141.24,35.34,41.86,44.77,104.95
17111,87.39,42.46,33.79,62.3,76.27
17113,205.93,35.36,66.68,107.53,169.61
17115,434.91,95.67,80.61,167.74,279.23
17117,153.82,35.23,25.76,58.81,147.93
17119,158.26,29.17,53.71,68.02,160.62
17121,255.1,82.62,85.23,122.48,198.23
17123,119.38,38.81,46.97,59.5,44.98
17125,305.15,31.57,66.91,188.79,258.55
17127,452.37,35.79,128.18,170.36,216.23
17129,187.57,0,43.83,49.24,108.17
17131,339.8,30.16,46.15,104.88,130.39
17133,9.79,9.15,37.47,24.98,24.97
17135,166.11,58.26,64.9,95.97,106.56
17137,121.74,27.17,50.48,143.28,189.43
17139,165.25,156.82,40.5,97.11,168.39
17141,200.82,31.36,77.24,123.41,160.04
17143,389.73,44.78,90.82,180.7,256.44
17145,185.49,51.21,64.6,204.36,162.85
17147,464.41,65.08,33.71,79.28,107.73
17149,270.54,63.06,58.31,97.31,322.36
17151,452.25,86.47,72.89,170.32,216.2
17153,117.78,41.49,58.96,1817.66,117.84
17155,53.6,0,0,27.7,34.56
17157,81.7,36.22,21.8,59.3,68.75
17159,261.15,0,44.59,89.74,112.42
17161,244.75,78.21,57.58,176.07,207.91
17163,257.11,32.9,96.71,159.33,196.09
17165,293.8,71.29,21.31,103.86,228.72
17167,247.28,126.55,73.97,107.75,179.89
17169,271.68,0,31.41,229.23,268.4
17171,0,114.78,0,0,0
17173,116.36,7.71,21.76,67.9,101.69
17175,171.77,90.66,48.83,82.47,126.63
17177,396.73,51.92,74.67,172.11,257.37
17179,162.76,65.93,32.62,56.2,107.91
17181,117.75,91.4,21.62,54.86,117.84
17183,454.98,34.07,100.25,182.56,320.66
17185,176.99,25.59,80.55,100.5,135.98
17187,175.67,77.02,71.55,179.27,122.24
17189,32.26,0,27.84,51.69,223.41
17191,117.27,69.18,72.34,100.18,259.31
17193,104.92,0,66.6,150.38,163.39
17195,285.09,51.1,48.82,165.03,255.21
17197,194.71,35.15,35.14,63.3,107.46
17199,207.21,23.29,33.63,137.81,113.74
17201,449.48,103.14,71.72,203.94,334.12
17203,168.35,109.3,72.28,60,120.93
18001,306.88,51.25,38.79,246.33,339.01
18003,305.41,92.84,113.39,178.83,315.08
18005,313.52,69.97,55.08,190.7,274.1
18007,365.76,15.5,28.31,281.79,531.88
